Data,Soggiacenza (m),id_left,longitude,latitude,quota[m],head[m],depth,averageHead[m],headSamples,geometry,AcquiferBase,control,index_right,id_right,Bottom,simulatedH,Error
2014-05-27 00:00:00,3.11,PO098024NR0087,786740.0360160915,5589385.333107724,64.0,60.89,10.0,60.5779661016949,59.0,POINT (786740.0360160915 5589385.333107724),[0.],0.0,0,1,54.0,65.95878915772575,5.380823056030849
2014-05-28 00:00:00,1.85,PO098025NR0110,785587.0497737441,5592577.486369852,68.0,66.15,10.0,65.425,54.0,POINT (785587.0497737441 5592577.486369852),[0.],0.0,0,1,58.0,70.87682817853806,5.451828178538065
2013-01-18 00:00:00,11.04,PO098026NR0074,797791.2739723391,5571351.061228579,53.0,41.96,30.0,42.14766233766234,77.0,POINT (797791.2739723391 5571351.061228579),[-128.13956],0.0,0,1,23.0,44.64785672287192,2.500194385209582
2015-06-03 00:00:00,4.65,PO0980290U0003,797737.3964736647,5567603.837605608,47.0,42.35,81.0,42.60666666666666,45.0,POINT (797737.3964736647 5567603.837605608),[-129.32632],0.0,0,1,-34.0,43.47166191509713,0.8649952484304677
2013-01-07 00:00:00,4.87,PO0980320U0002,774846.316242439,5587694.833736885,79.0,74.13,66.5,73.75759036144579,83.0,POINT (774846.316242439 5587694.833736885),[0.],0.0,0,1,12.5,73.08890536604972,-0.6686849953960774
2014-05-26 00:00:00,4.9,PO098049NR0141,795001.5387213234,5566307.689740608,46.0,41.1,12.0,40.214333333333336,60.0,POINT (795001.5387213234 5566307.6897406075),[-107.05675],0.0,0,1,34.0,42.94051648394,2.7261831506066656
2015-06-03 00:00:00,7.7,PO0980510U0001,802714.1375097329,5570057.327167708,50.0,42.3,56.6,42.15773584905661,53.0,POINT (802714.1375097329 5570057.3271677075),[-150.],0.0,0,1,-6.600000000000001,43.38062257148855,1.2228867224319444
2013-01-28 00:00:00,2.44,PO098052NR0037,788989.2191324839,5579303.2841442255,63.0,60.56,10.0,60.37275000000001,80.0,POINT (788989.2191324839 5579303.2841442255),[-10.815961],0.0,0,1,53.0,53.733137533197514,-6.639612466802497
2013-01-07 00:00:00,5.0,PO0980600U0001,779055.0981973206,5581600.476630978,70.0,65.0,59.0,64.49096385542168,83.0,POINT (779055.0981973206 5581600.476630978),[0.],0.0,0,1,11.0,64.66080741252941,0.16984355710772547
2013-01-23 00:00:00,0.7,PO0200030R0002,893745.6047481785,5565090.811226709,17.0,16.3,52.3,15.878433734939756,83.0,POINT (893745.6047481785 5565090.811226709),[-186.251],0.0,0,1,-35.3,17.77817308646474,1.8997393515249836
